Rk 	Player 	Pos 	Age 	Tm 	G 	MP 	PER 	TS% 	3PAr 	FTr 	ORB% 	DRB% 	TRB% 	AST% 	STL% 	BLK% 	TOV% 	USG% 	  	OWS 	DWS 	WS 	WS/48 	  	OBPM 	DBPM 	BPM 	VORP
130	JaVale McGee	C	34	PHO	6	66	33.6	.822	.000	.385	17.2	21.8	19.7	7.8	0.8	1.3	9.0	23.7		0.4	0.0	0.5	.336		6.5	0.9	7.4	0.2
131	Jordan McLaughlin	PG	25	MIN	5	83	20.7	.826	.412	.235	0.0	15.2	8.0	33.4	2.8	0.0	9.6	10.7		0.3	0.1	0.4	.253		3.4	4.3	7.7	0.2
132	De'Anthony Melton	SG	23	MEM	4	47	-4.1	.238	.778	.111	0.0	17.5	8.3	13.9	2.0	0.0	17.5	19.8		-0.2	0.1	-0.2	-0.174		-10.2	-2.0	-12.1	-0.1
133	Khris Middleton	SF	30	MIL	2	72	9.9	.573	.583	.125	1.5	11.6	7.0	27.5	2.0	0.0	30.3	21.9		-0.1	0.2	0.1	.079		-0.9	1.9	0.9	0.1
134	Patty Mills	PG	33	BRK	4	72	10.5	.781	.813	.000	0.0	7.3	3.6	0.0	0.0	1.3	5.9	10.8		0.1	-0.1	0.1	.051		2.3	-1.7	0.6	0.0
135	Shake Milton	PG	25	PHI	6	72	16.0	.746	.462	.538	1.9	9.4	6.0	10.1	1.5	2.6	5.9	11.2		0.2	0.1	0.3	.208		1.9	2.3	4.2	0.1
136	Donovan Mitchell	SG	25	UTA	6	229	18.5	.505	.361	.316	3.1	10.1	6.6	29.8	0.9	1.6	9.6	34.3		0.1	0.1	0.2	.049		3.9	-1.1	2.8	0.3
137	Greg Monroe	C	31	MIN	2	7	21.2	.400	.000	.000	16.8	15.0	15.9	30.3	13.4	0.0	16.7	36.7		0.0	0.0	0.0	-0.038		-2.5	5.8	3.3	0.0
138	Moses Moody	SG	19	GSW	2	8	1.7	.174	.500	1.000	16.0	0.0	7.7	14.3	6.2	0.0	25.8	21.9		0.0	0.0	0.0	-0.222		-8.7	-1.8	-10.6	0.0
139	Ja Morant	PG	22	MEM	6	222	18.4	.496	.198	.653	4.7	22.2	13.0	43.4	1.9	1.9	16.1	28.4		0.2	0.4	0.6	.125		2.6	1.7	4.3	0.4
140	Monte Morris	PG	26	DEN	5	156	15.8	.622	.510	.235	0.8	8.2	4.4	26.2	1.9	0.0	12.4	17.9		0.4	0.0	0.3	.101		2.2	-0.2	2.0	0.2
141	Trey Murphy III	SF	21	NOP	6	120	10.0	.640	.864	.227	2.8	12.6	7.4	3.4	1.3	0.7	4.0	9.0		0.2	0.0	0.2	.094		0.5	0.1	0.5	0.1
142	Svi Mykhailiuk	SF	24	TOR	3	5	-8.9	.205	1.000	.500	0.0	27.1	12.3	0.0	0.0	0.0	0.0	22.6		0.0	0.0	0.0	-0.301		-16.4	-5.0	-21.4	0.0
143	Larry Nance Jr.	PF	29	NOP	6	130	20.4	.627	.231	.282	16.2	15.5	15.9	13.2	1.2	1.3	12.0	16.5		0.4	0.0	0.4	.162		2.9	0.3	3.2	0.2
144	Georges Niang	PF	28	PHI	6	105	14.2	1.000	.900	.000	5.2	4.3	4.7	5.9	0.5	0.0	13.0	10.3		0.3	0.1	0.4	.177		3.4	0.7	4.2	0.2
145	Zeke Nnaji	PF	21	DEN	2	9	10.7	1.500	1.000	.000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.8		0.0	0.0	0.0	.089		1.2	-1.0	0.2	0.0
146	Jaylen Nowell	SG	22	MIN	1	12	1.4	.300	.500	.000	0.0	0.0	0.0	16.4	3.9	0.0	0.0	35.7		-0.1	0.0	-0.1	-0.293		-5.8	-3.8	-9.6	0.0
147	Jordan Nwora	SF	23	MIL	3	13	-3.7	.167	.333	.000	0.0	7.1	3.9	20.0	0.0	0.0	0.0	20.0		-0.1	0.0	0.0	-0.155		-9.0	-2.5	-11.6	0.0
148	Royce O'Neale	SF	28	UTA	6	188	7.9	.516	.714	.057	3.7	17.2	10.5	7.3	0.8	0.7	7.7	9.7		0.1	0.1	0.2	.054		-0.9	1.0	0.1	0.1
149	Josh Okogie	SG	23	MIN	1	2	0.0				0.0	0.0	0.0	0.0	0.0	0.0		0.0		0.0	0.0	0.0	-0.002		-2.6	-2.3	-4.8	0.0
150	Onyeka Okongwu	C	21	ATL	5	108	12.6	.637	.000	.625	12.1	18.2	15.1	2.9	1.9	3.8	16.4	10.4		0.2	0.1	0.3	.129		-2.2	0.7	-1.5	0.0
151	Victor Oladipo	SG	29	MIA	2	59	14.1	.522	.423	.154	2.1	16.1	9.2	18.5	2.6	0.0	9.8	23.1		0.0	0.1	0.1	.120		-0.2	2.4	2.3	0.1
152	Eric Paschall	PF	25	UTA	4	24	13.9	.621	.333	.167	4.9	19.3	12.1	0.0	2.2	0.0	0.0	12.6		0.0	0.0	0.1	.144		0.2	0.6	0.8	0.0
153	Chris Paul	PG	36	PHO	6	221	29.9	.663	.289	.278	2.3	11.0	6.9	45.8	2.6	0.4	8.2	23.3		1.2	0.1	1.4	.296		7.8	2.2	10.0	0.7
154	Cameron Payne	PG	27	PHO	6	90	3.4	.381	.429	.143	0.0	8.6	4.6	10.3	4.0	0.9	13.6	26.9		-0.4	0.1	-0.3	-0.170		-9.0	-1.1	-10.1	-0.2
155	Elfrid Payton	PG	27	PHO	1	2	57.8	1.000	.000	.000	0.0	0.0	0.0	100.0	0.0	0.0	0.0	23.4		0.0	0.0	0.0	.789		20.9	6.1	27.0	0.0
156	Gary Payton II	PG	29	GSW	5	85	23.4	.866	.471	.353	7.5	12.7	10.2	9.6	2.9	4.4	0.0	10.4		0.4	0.1	0.5	.272		6.0	4.2	10.2	0.3
157	Jordan Poole	SG	22	GSW	5	162	23.0	.715	.500	.419	1.6	7.4	4.6	25.1	2.1	1.2	14.0	23.8		0.6	0.1	0.7	.212		4.5	0.7	5.2	0.3
158	Otto Porter Jr.	PF	28	GSW	5	109	4.1	.372	.591	.091	3.5	14.3	9.1	12.4	1.4	1.7	17.9	11.5		-0.1	0.1	-0.1	-0.022		-6.0	-0.2	-6.2	-0.1
159	Bobby Portis	C	26	MIL	5	119	15.2	.548	.510	.184	8.3	37.4	24.0	5.1	0.4	0.8	13.1	22.2		0.0	0.4	0.4	.148		0.8	0.4	1.2	0.1
160	Dwight Powell	C	30	DAL	6	106	8.9	.581	.111	.444	8.7	15.5	12.1	4.3	0.5	2.8	18.9	12.1		0.1	0.1	0.2	.095		-4.4	0.3	-4.1	-0.1
161	Taurean Prince	PF	27	MIN	5	65	10.1	.499	.519	.259	1.8	11.3	6.8	15.3	1.4	1.3	11.7	22.5		-0.1	0.1	0.0	.001		-0.7	-0.3	-1.0	0.0
162	Payton Pritchard	SG	24	BOS	4	46	19.4	.767	.467	.000	0.0	16.9	8.5	13.5	1.1	0.0	6.3	15.4		0.2	0.0	0.2	.181		3.1	1.9	5.0	0.1
163	Paul Reed	C	22	PHI	6	60	16.7	.619	.111	.278	22.6	20.6	21.5	5.4	3.5	3.1	25.7	21.3		0.0	0.1	0.2	.125		-3.4	1.8	-1.6	0.0
164	Naz Reid	C	22	MIN	5	54	11.1	.598	.412	.412	4.4	23.4	14.4	0.0	0.9	9.5	19.9	19.9		0.0	0.1	0.1	.052		-4.0	2.1	-1.9	0.0
165	Austin Rivers	SG	29	DEN	5	108	6.1	.569	.667	.056	0.0	3.5	1.7	7.4	3.2	1.0	17.8	9.0		0.0	0.0	0.0	.008		-3.5	1.1	-2.4	0.0
166	Duncan Robinson	SG	27	MIA	5	66	15.0	.827	.950	.200	0.0	10.8	5.5	0.0	0.0	0.0	8.4	16.0		0.2	0.1	0.3	.198		2.4	0.4	2.7	0.1
167	D'Angelo Russell	PG	25	MIN	6	196	8.2	.455	.431	.222	0.0	8.0	4.2	32.2	2.1	0.0	17.7	21.0		-0.3	0.2	-0.1	-0.021		-1.8	-1.1	-3.0	0.0
168	Landry Shamet	SG	24	PHO	5	98	5.7	.473	.609	.130	2.6	5.7	4.2	6.3	1.6	0.0	14.1	13.5		-0.1	0.0	-0.1	-0.044		-3.5	-1.4	-5.0	-0.1
169	Day'Ron Sharpe	PF	20	BRK	1	0														0.0	0.0	0.0			-1.8	-3.9	-5.7	0.0
170	Pascal Siakam	PF	27	TOR	6	260	19.3	.558	.159	.336	3.5	18.3	10.2	22.9	1.4	2.5	9.6	24.2		0.5	0.1	0.5	.096		2.3	0.7	3.0	0.3
171	Marcus Smart	PG	27	BOS	4	147	14.4	.537	.561	.175	4.5	9.7	7.1	27.4	1.7	0.0	14.0	21.5		0.2	0.0	0.3	.094		0.3	-0.2	0.1	0.1
172	Jaden Springer	SG	19	PHI	2	4	41.6	.667	.000	.000	0.0	56.1	30.7	88.8	0.0	0.0	0.0	35.3		0.0	0.0	0.0	.419		4.0	7.5	11.5	0.0
173	Max Strus	SF	25	MIA	5	144	14.1	.564	.763	.119	3.4	8.3	5.9	11.7	2.5	0.8	7.5	20.7		0.1	0.3	0.4	.137		1.6	1.4	3.0	0.2
174	Jayson Tatum	SF	23	BOS	4	167	21.2	.616	.392	.481	3.1	10.9	7.0	27.0	2.1	1.7	17.3	30.7		0.4	0.1	0.5	.152		4.1	1.5	5.6	0.3
175	Garrett Temple	SG	35	NOP	1	2	6.2				0.0	63.2	29.5	0.0	0.0	0.0		0.0		0.0	0.0	0.0	.033		-4.7	2.5	-2.2	0.0
176	Daniel Theis	C	29	BOS	4	88	16.1	.615	.280	.240	14.9	23.6	19.3	8.1	1.7	1.1	15.3	16.4		0.2	0.1	0.2	.130		-0.7	0.6	-0.1	0.0
177	Cam Thomas	SG	20	BRK	1	0														0.0	0.0	0.0			-2.0	-3.4	-5.4	0.0
178	Klay Thompson	SG	31	GSW	5	173	19.3	.645	.565	.071	1.5	11.8	6.8	6.5	1.7	2.2	6.4	24.4		0.3	0.1	0.4	.114		3.0	-0.8	2.2	0.2
179	Tristan Thompson	PF	30	CHI	5	38	-0.6	.400	.000	.000	4.9	17.2	10.5	7.5	1.3	0.0	50.0	11.5		-0.1	0.0	-0.1	-0.110		-9.8	-0.1	-9.9	-0.1
180	Matisse Thybulle	SG	24	PHI	3	43	7.4	.460	.600	.200	3.2	7.8	5.7	3.4	2.4	6.4	8.4	13.0		0.0	0.1	0.0	.039		-3.6	2.9	-0.7	0.0
181	Xavier Tillman Sr.	PF	23	MEM	5	80	9.3	.698	.067	.333	13.1	13.2	13.2	1.8	0.6	0.0	28.9	12.3		0.0	0.1	0.1	.067		-3.1	-0.2	-3.3	0.0
182	Juan Toscano-Anderson	SF	28	GSW	2	8	41.9	1.042	.500	1.000	0.0	30.0	15.5	20.0	6.2	0.0	0.0	16.2		0.1	0.0	0.1	.452		13.4	9.3	22.6	0.1
183	Karl-Anthony Towns	C	26	MIN	6	222	17.0	.642	.275	.625	5.8	25.6	16.2	10.1	0.8	4.6	20.9	24.9		0.1	0.3	0.4	.096		0.2	0.2	0.3	0.1
184	Gary Trent Jr.	SG	23	TOR	6	199	12.2	.509	.476	.232	0.6	6.8	3.4	6.4	1.6	1.6	3.2	21.8		0.1	0.0	0.1	.016		-0.7	-0.7	-1.4	0.0
185	P.J. Tucker	PF	36	MIA	5	141	15.7	.756	.500	.133	6.1	20.2	13.3	12.1	0.7	0.0	5.9	10.6		0.5	0.3	0.7	.241		2.0	2.7	4.7	0.2
186	Rayjon Tucker	SG	24	MIL	3	12	4.3				9.1	7.7	8.4	0.0	0.0	0.0		0.0		0.0	0.0	0.0	.156		-4.7	-0.1	-4.8	0.0
187	Jonas Valančiūnas	C	29	NOP	6	175	23.5	.548	.088	.382	20.9	38.3	29.0	16.5	1.2	0.5	13.1	22.5		0.5	0.1	0.6	.151		4.6	-0.9	3.7	0.3
188	Jarred Vanderbilt	PF	22	MIN	6	129	11.9	.525	.000	.370	10.9	25.3	18.5	4.7	2.5	1.3	13.7	12.1		0.1	0.2	0.3	.101		-1.8	1.2	-0.6	0.0
189	Fred VanVleet	PG	27	TOR	4	140	15.4	.486	.667	.111	1.6	9.7	5.3	27.5	2.6	3.1	6.6	20.1		0.1	0.1	0.2	.060		2.6	0.9	3.5	0.2
190	Luca Vildoza	PG	26	MIL	2	10	22.5	.500	1.000	.000	0.0	9.3	5.0	40.2	9.6	0.0	0.0	13.0		0.0	0.0	0.1	.377		-0.2	12.1	12.0	0.0
191	Gabe Vincent	PG	25	MIA	5	126	11.7	.530	.676	.162	2.0	9.4	5.8	23.2	2.4	0.9	15.0	16.4		0.1	0.3	0.3	.125		-0.7	2.5	1.7	0.1
192	Nikola Vučević	C	31	CHI	5	181	17.2	.520	.462	.055	7.2	28.9	17.2	16.5	0.5	3.2	7.9	24.5		0.0	0.3	0.3	.073		3.0	1.0	4.0	0.3
193	Ish Wainright	PF	27	PHO	1	2	6.2	.000	.500	.000	63.2	0.0	29.5	0.0	25.7	0.0	0.0	46.8		0.0	0.0	0.0	-0.553		-11.5	-0.2	-11.7	0.0
194	Yuta Watanabe	SF	27	TOR	4	10	-5.9	.333	.167	.000	0.0	0.0	0.0	0.0	0.0	0.0	14.3	32.5		-0.1	0.0	-0.1	-0.415		-11.0	-9.0	-19.9	0.0
195	Coby White	PG	21	CHI	5	98	6.3	.445	.644	.111	0.0	18.9	8.7	15.2	0.5	0.0	11.3	23.8		-0.3	0.1	-0.2	-0.077		-3.2	-1.3	-4.5	-0.1
196	Derrick White	SG	27	BOS	4	81	8.4	.417	.478	.217	1.6	27.2	14.5	13.0	2.5	0.0	10.6	15.4		0.0	0.1	0.0	.018		-4.9	1.7	-3.2	0.0
197	Hassan Whiteside	C	32	UTA	6	65	16.6	.400	.000	.333	14.4	40.9	27.7	0.0	1.6	15.2	0.0	9.9		0.0	0.2	0.2	.141		-0.6	2.8	2.2	0.1
198	Andrew Wiggins	SF	26	GSW	5	150	16.7	.603	.255	.314	6.0	21.6	14.0	7.7	1.7	2.5	9.4	19.3		0.2	0.2	0.4	.112		0.2	0.0	0.2	0.1
199	Grant Williams	PF	23	BOS	4	119	16.4	.762	.615	.308	7.7	9.8	8.8	3.4	0.4	4.8	6.3	11.7		0.4	0.0	0.4	.172		3.1	1.5	4.5	0.2
200	Patrick Williams	PF	20	CHI	5	153	11.1	.569	.447	.234	3.6	15.0	8.8	4.3	1.6	1.9	11.9	16.9		0.0	0.2	0.2	.062		-2.3	0.7	-1.6	0.0
201	Robert Williams	C	24	BOS	2	30	10.3	.425	.000	.400	21.9	8.6	15.2	4.2	1.7	3.2	14.5	10.2		0.0	0.0	0.0	.066		-2.8	-1.4	-4.2	0.0
202	Ziaire Williams	SF	20	MEM	5	55	13.3	.598	.632	.526	1.9	0.0	1.0	2.7	1.7	0.0	0.0	17.3		0.1	0.1	0.2	.178		0.1	0.7	0.8	0.0
203	Delon Wright	SG	29	ATL	5	137	15.6	.622	.448	.310	9.5	11.7	10.6	16.8	1.5	0.7	13.2	12.8		0.3	0.1	0.4	.132		3.3	1.5	4.8	0.2
204	Thaddeus Young	PF	33	TOR	6	87	14.1	.506	.389	.222	9.0	17.2	12.7	16.9	3.0	1.3	13.2	12.1		0.1	0.0	0.1	.069		-0.6	2.3	1.7	0.1
205	Trae Young	PG	23	ATL	5	186	5.0	.461	.551	.478	3.2	13.2	8.1	27.0	0.8	0.0	27.1	28.3		-0.6	0.1	-0.5	-0.139		-4.0	-4.1	-8.1	-0.3
206	Omer Yurtseven	C	23	MIA	2	8	28.6	.658	.250	.750	0.0	14.9	7.6	27.5	0.0	0.0	0.0	29.5		0.0	0.0	0.0	.261		4.0	3.1	7.1	0.0
