Rk 	Player 	Pos 	Age 	Tm 	G 	MP 	PER 	TS% 	3PAr 	FTr 	ORB% 	DRB% 	TRB% 	AST% 	STL% 	BLK% 	TOV% 	USG% 	  	OWS 	DWS 	WS 	WS/48 	  	OBPM 	DBPM 	BPM 	VORP
31	Bruce Brown	SF	25	BRK	4	139	15.2	.676	.378	.270	5.6	12.3	8.9	11.9	1.8	2.1	17.9	16.6		0.2	0.0	0.2	.080		2.1	0.3	2.4	0.2
32	Jaylen Brown	SF	25	BOS	4	155	18.9	.556	.260	.247	1.7	15.9	8.8	17.5	3.3	1.2	11.0	26.0		0.2	0.1	0.3	.108		1.4	1.7	3.1	0.2
33	Sterling Brown	SG	26	DAL	1	0		1.136									0.0			0.0	0.0	0.0			76.0	19.0	94.9	0.0
34	Troy Brown Jr.	SF	22	CHI	3	37	3.5	.353	.647	.000	2.5	20.6	10.8	13.0	2.6	0.0	15.0	23.7		-0.2	0.1	-0.1	-0.155		-6.2	-0.8	-7.0	0.0
35	Jalen Brunson	PG	25	DAL	6	228	25.2	.583	.262	.310	2.5	12.3	7.4	22.9	1.2	0.0	2.7	31.3		0.8	0.3	1.0	.218		5.1	0.8	5.9	0.5
36	Reggie Bullock	SF	30	DAL	6	254	11.6	.650	.894	.106	0.9	15.7	8.2	7.7	1.9	0.4	3.9	9.8		0.4	0.4	0.8	.145		0.2	2.7	2.9	0.3
37	Trey Burke	PG	29	DAL	3	13	17.3	.536	.375	.375	0.0	18.0	9.0	0.0	0.0	0.0	0.0	34.7		0.0	0.0	0.0	.093		-3.2	-1.0	-4.2	0.0
38	Jared Butler	SG	21	UTA	1	5	-15.1	.000	.000	.000	0.0	23.1	11.6	0.0	0.0	0.0	0.0	18.7		0.0	0.0	0.0	-0.436		-13.3	-5.4	-18.6	0.0
39	Jimmy Butler	SF	32	MIA	4	149	33.6	.636	.198	.420	6.6	18.3	12.6	26.4	3.7	1.5	5.0	30.1		0.7	0.4	1.1	.364		9.4	4.8	14.2	0.6
40	Facundo Campazzo	PG	30	DEN	4	13	-10.4	.000	1.000	.000	0.0	29.5	14.3	18.7	0.0	0.0	50.0	13.4		-0.1	0.0	-0.1	-0.315		-15.7	-3.6	-19.4	-0.1
41	Vlatko Čančar	PF	24	DEN	2	9	12.7	.833	.667	.000	0.0	28.4	13.7	18.6	0.0	0.0	40.0	24.2		0.0	0.0	0.0	-0.099		1.9	-1.3	0.6	0.0
42	Clint Capela	C	27	ATL	2	40	7.7	.333	.000	.000	11.9	33.8	22.7	0.0	1.3	2.5	14.3	8.1		0.0	0.1	0.0	.026		-2.2	-0.9	-3.1	0.0
43	Jevon Carter	PG	26	MIL	5	79	9.9	.500	.417	.000	4.1	10.6	7.6	14.6	3.6	0.0	14.3	7.7		0.1	0.3	0.3	.194		-3.7	4.4	0.7	0.1
44	Alex Caruso	SG	27	CHI	4	113	12.2	.543	.783	.000	1.6	8.7	4.9	22.2	2.1	3.5	4.2	9.3		0.1	0.2	0.3	.131		-0.6	3.9	3.3	0.2
45	Marquese Chriss	PF	24	DAL	1	4	24.9	.500	.000	.000	28.9	29.3	29.1	0.0	0.0	0.0	0.0	24.2		0.0	0.0	0.0	.196		5.6	-1.4	4.2	0.0
46	Brandon Clarke	PF	25	MEM	6	177	26.4	.693	.018	.625	13.7	20.6	16.9	14.7	1.3	3.5	5.3	17.3		0.8	0.3	1.1	.301		6.5	2.4	8.9	0.5
47	Jordan Clarkson	SG	29	UTA	6	170	19.4	.649	.329	.247	3.4	9.5	6.5	9.5	0.9	0.7	11.0	25.0		0.4	0.1	0.5	.132		3.6	0.7	4.3	0.3
48	Nic Claxton	C	22	BRK	4	98	23.8	.624	.000	.917	9.3	24.2	16.7	9.8	2.6	8.9	5.6	16.7		0.2	0.1	0.3	.144		4.4	2.3	6.6	0.2
49	John Collins	PF	24	ATL	5	122	10.4	.541	.282	.256	1.9	21.2	11.4	8.8	0.8	0.8	10.3	18.3		0.0	0.1	0.1	.036		-0.8	0.0	-0.9	0.0
50	Mike Conley	PG	34	UTA	6	174	8.0	.432	.439	.263	1.3	11.3	6.4	26.9	1.5	1.4	17.0	20.6		-0.3	0.1	-0.1	-0.036		-3.3	-0.6	-3.9	-0.1
51	Pat Connaughton	SG	29	MIL	5	113	11.2	.563	.861	.083	1.0	14.8	8.4	6.1	0.8	1.6	7.4	15.5		0.0	0.3	0.4	.155		0.6	1.5	2.1	0.1
52	DeMarcus Cousins	C	31	DEN	5	57	32.4	.744	.207	.517	6.3	31.4	18.4	21.6	2.6	1.8	16.4	32.5		0.2	0.0	0.3	.211		8.2	3.5	11.8	0.2
53	Torrey Craig	SF	31	PHO	4	39	8.5	.304	.444	.222	9.7	5.7	7.6	12.0	4.0	2.1	9.2	13.1		0.0	0.0	0.0	-0.016		-2.3	1.3	-1.0	0.0
54	Jae Crowder	PF	31	PHO	6	172	6.9	.412	.542	.313	2.2	12.2	7.5	10.8	2.4	1.9	9.9	16.5		-0.2	0.1	-0.1	-0.028		-5.2	0.8	-4.3	-0.1
55	Jarrett Culver	SG	22	MEM	1	5	45.4	.500	.000	.000	21.0	47.0	33.3	31.8	18.7	0.0	0.0	16.2		0.0	0.0	0.1	.504		10.4	25.8	36.2	0.0
56	Seth Curry	SG	31	BRK	4	132	16.1	.719	.590	.077	2.0	8.0	4.9	14.0	0.4	2.2	6.9	15.1		0.4	-0.1	0.3	.121		4.0	-1.0	3.0	0.2
57	Stephen Curry	PG	33	GSW	5	150	29.3	.641	.511	.424	2.6	11.2	7.0	31.7	2.6	1.2	11.4	37.0		0.5	0.1	0.7	.216		8.3	0.3	8.6	0.4
58	Dewayne Dedmon	C	32	MIA	5	47	17.5	.591	.188	.250	20.9	25.3	23.2	10.0	1.1	2.4	14.5	19.6		0.1	0.1	0.2	.209		-3.3	0.7	-2.7	0.0
59	DeMar DeRozan	PF	32	CHI	5	203	13.0	.481	.095	.316	0.5	14.0	6.7	20.9	2.1	1.0	9.2	25.7		-0.2	0.3	0.1	.018		-1.3	0.5	-0.8	0.1
60	Gorgui Dieng	C	32	ATL	2	10	15.1	.615	.500	.500	11.9	24.6	18.1	0.0	0.0	0.0	0.0	11.2		0.0	0.0	0.0	.151		1.9	-3.2	-1.3	0.0
61	Spencer Dinwiddie	PG	28	DAL	6	200	11.5	.478	.410	.361	3.5	8.2	5.8	21.8	1.8	0.5	11.9	26.4		-0.1	0.3	0.1	.028		-2.3	-0.9	-3.2	-0.1
62	Luka Dončić	PG	22	DAL	3	109	26.1	.598	.469	.313	0.0	34.4	17.1	33.1	1.9	2.7	14.2	37.7		0.1	0.2	0.4	.158		6.6	5.0	11.6	0.4
63	Ayo Dosunmu	SG	22	CHI	5	86	5.9	.378	.500	.038	4.3	11.4	7.6	19.2	0.6	0.0	10.2	15.0		-0.1	0.1	0.0	-0.025		-3.9	-1.4	-5.3	-0.1
64	Goran Dragić	PG	35	BRK	4	79	19.0	.639	.375	.063	9.9	20.0	14.9	12.9	1.9	0.0	13.2	22.0		0.2	0.0	0.2	.105		1.1	-0.1	1.1	0.1
65	Andre Drummond	C	28	BRK	4	60	10.0	.568	.000	.455	6.5	19.7	13.1	7.0	4.3	4.8	31.3	14.7		-0.1	0.1	0.0	-0.009		-4.9	1.7	-3.2	0.0
66	Kevin Durant	PF	33	BRK	4	176	13.2	.526	.253	.458	1.5	15.7	8.5	22.3	1.2	0.5	17.4	31.5		-0.1	0.0	-0.1	-0.029		0.4	-3.3	-2.9	0.0
67	Anthony Edwards	SG	20	MIN	6	227	17.4	.604	.518	.309	2.1	9.7	6.1	14.8	1.4	2.6	10.7	26.4		0.3	0.2	0.5	.099		3.2	0.2	3.4	0.3
68	Kessler Edwards	SF	21	BRK	2	7	-2.0				0.0	0.0	0.0	17.5	7.3	0.0	100.0	6.6		0.0	0.0	0.0	-0.098		-10.8	6.4	-4.4	0.0
69	Joel Embiid	C	27	PHI	6	234	21.7	.623	.210	.590	7.5	26.4	17.9	10.7	0.4	2.0	13.7	29.3		0.5	0.3	0.9	.176		1.9	-0.8	1.1	0.2
70	Dorian Finney-Smith	PF	28	DAL	6	260	13.4	.621	.705	.098	3.6	13.5	8.5	10.2	1.4	1.5	5.9	12.6		0.5	0.4	0.8	.154		0.9	2.0	2.9	0.3
71	Malachi Flynn	PG	23	TOR	6	36	-5.6	.000	.429	.000	6.2	3.8	5.1	10.6	1.5	0.0	12.5	10.3		-0.1	0.0	-0.2	-0.211		-11.5	-2.9	-14.4	-0.1
72	Bryn Forbes	SG	28	DEN	5	76	7.6	.581	.733	.333	1.6	3.4	2.4	12.4	0.7	0.0	10.4	11.0		0.1	0.0	0.1	.032		-0.8	-1.9	-2.8	0.0
73	Danilo Gallinari	PF	33	ATL	5	112	10.5	.512	.333	.244	2.1	20.9	11.3	6.4	0.5	0.0	9.1	22.5		0.0	0.1	0.0	.012		-0.6	-1.3	-1.8	0.0
74	Rudy Gobert	C	29	UTA	6	197	19.1	.688	.000	1.333	12.5	34.1	23.3	2.4	0.3	3.8	13.3	14.3		0.5	0.2	0.7	.183		2.2	0.1	2.3	0.2
75	Aaron Gordon	PF	26	DEN	5	160	15.4	.520	.278	.519	13.5	14.4	13.9	12.0	0.6	3.9	10.8	20.2		0.2	0.0	0.2	.063		0.9	-2.2	-1.3	0.0
