player_name,player_id,season,season_type,team,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Precious Achiuwa,achiupr01,2021,RS,MIA,1258,593,-3.999444250764105,3.256286170191317,-.7431580805727878,-3.969365057680292,-3.374063293669126,-7.343428351349418,-4.203988555251218,2.024083904032949,-2.179904651218269,.1733197296550186,.1733197296550186,0,-3.87400453055789,1.512127494765802,-2.361877035792088,.4904957871448327
Jaylen Adams,adamsja01,2021,RS,MIL,41,18,-12.45627141144716,-3.418217236985718,-15.87448864843288,-25.7587870849755,7.416145548466218,-18.34264153650928,-16.11376298420162,-1.480716872220905,-17.59447985642252,-.1340820836561109,-.1340820836561109,0,-11.93747481359063,-4.146123707521659,-16.08359852111229,-1.661207559910006
Steven Adams,adamsst01,2021,RS,NOP,2586,1268,-1.197515206045994,1.107363734040612,-.090151472005382,3.570643961263088,-2.696293291076802,.8743506701862858,-.2991576679117213,.4461905279324079,.1470328600206866,1.850132108529631,1.850132108529631,0,-.0922342918998948,.9752958310847262,.8830615391848313,-1.295528886353674
Bam Adebayo,adebaba01,2021,RS,MIA,3023,1480,.2167705644487059,2.082697862370558,2.299468426819264,1.367239850964279,3.136870122826174,4.504109973790452,.5319797581876268,2.402024539841848,2.934004298029475,4.276101712101566,4.276101712101566,0,.3212325652717047,1.556227993209449,1.877460558481153,-.3731507173923873
LaMarcus Aldridge,aldrila01,2021,RS,BRK,113,56,-1.454562866143791,1.185701213011245,-.2688616531325467,2.248608012804184,3.977648730453659,6.226256743257843,-.8575839278853072,1.861775973865106,1.004192045979798,.1051531430869222,.1051531430869222,0,-1.162332156185875,.2461634649727218,-.9161686912131533,-1.984247180197548
LaMarcus Aldridge,aldrila01,2021,RS,SAS,1138,544,-2.922576634365679,-.6240637557851123,-3.546640390150792,-1.723571492361356,-3.338951061535165,-5.062522553896521,-2.828551811897147,-1.211505063314536,-4.040056875211683,-.3564925705171189,-.3564925705171189,0,-3.007851879575687,-.759484417876566,-3.767336297452253,-.4400903164414057
Nickeil Alexander-Walker,alexani01,2021,RS,NOP,1784,851,-.9583184849397139,.9107312343428566,-.0475872505968573,-4.69715290327738,1.908569243111806,-2.788583660165575,-1.858786892833814,1.228197214453739,-.6305896783800751,.9261986513208306,.9261986513208306,0,-.6383663842985505,1.001560299384667,.3631939150861161,.657316856197054
Ty-Shon Alexander,alexaty01,2021,RS,PHO,30,15,-.6961443705429717,-5.463261858238472,-6.159406228781443,-.3287438506853481,-7.512676151396563,-7.841420002081911,-.7458454282473037,-6.319799751948904,-7.065645180196207,-.032271693038391,-.032271693038391,0,.2022147990171458,-6.138920608095498,-5.936705809078353,-2.310203486879062
Grayson Allen,allengr01,2021,RS,MEM,1758,824,.5880377337891711,1.137358064030096,1.725395797819267,-2.06809578947071,-.2396276796677298,-2.307723469138439,.0805333170527774,.9058675367223524,.9864008537751299,1.573850167312492,1.573850167312492,0,.3040982959262912,.3546730966295116,.6587713925558029,.1959393199690384
Jarrett Allen,allenja01,2021,RS,CLE,1940,942,-.168339703382552,2.119531582229344,1.951191878846792,-.856932142895486,-2.067031677344715,-2.923963820240201,-.2432127018735035,1.392702604781881,1.149489902908378,1.868203738693001,1.868203738693001,0,-.8842591174948158,1.215741501351659,.3314823838568433,-.3190410560703382
